L,N,K,Ratio,Success Rate
3,100,3,0.012983956380182795,0.0
3,100,3,0.026931020239570426,0.0
3,100,3,0.02375767174816868,0.0
3,100,3,0.07306226175349428,0.0
3,100,3,0.08034545930384716,0.0
3,100,3,0.06575212866603596,0.0
3,100,3,0.5208545269582909,0.0
3,100,3,0.027960126428397764,0.0
3,100,3,0.07609459143057831,0.0
3,100,3,0.10575364667747164,0.0
3,100,3,0.02078239608801956,0.0
3,100,3,0.11008822401227465,0.0
3,100,3,0.022120643212798954,0.0
3,100,3,0.019489378288832588,0.0
3,100,3,0.9518072289156626,0.0
3,100,3,0.03765208812890496,0.0
3,100,3,0.02178806158278563,0.0
3,100,3,0.01331891679363051,0.0
3,100,3,0.04020530367835757,0.0
3,100,3,0.02264579872344146,0.0
3,100,3,0.04818047840380909,0.0
3,100,3,0.04267723880597015,0.0
3,100,3,0.48250460405156537,0.0
3,100,3,0.038461538461538464,0.0
3,100,3,0.07797101449275362,0.0
3,100,3,0.16289592760180996,0.0
3,100,3,0.02450305058059437,0.0
3,100,3,0.09184423218221896,0.0
3,100,3,0.16651624548736463,0.0
3,100,3,0.010011615686708336,0.0
3,100,3,0.028829017716741796,0.0
3,100,3,0.06844201095072175,0.0
3,100,3,0.1220073664825046,0.0
3,100,3,0.045522018802572985,0.0
3,100,3,0.07833001988071571,0.0
3,100,3,0.14875565610859728,0.0
3,100,3,0.06845155948109302,0.0
3,100,3,0.037296037296037296,0.0
3,100,3,0.06698564593301436,0.0
3,100,3,0.03859866687335297,0.0
3,100,3,0.018507492309219012,0.0
3,100,3,0.0373531367767679,0.0
3,100,3,0.02385193982581156,0.0
3,100,3,0.04920174165457184,0.0
3,100,3,0.042955910687974615,0.0
3,100,3,0.1492336649636999,0.0
3,100,3,0.04472984942426927,0.0
3,100,3,0.04061092963715017,0.0
3,100,3,0.025716219264606363,0.0
3,100,3,0.07736499425507469,0.0
3,100,3,0.012920798994272942,0.0
3,100,3,0.14171122994652408,0.0
3,100,3,0.13792039493983338,0.0
3,100,3,0.053408811223234064,0.0
3,100,3,0.07529948659440959,0.0
3,100,3,0.048714722272155314,0.0
3,100,3,0.02239589408608422,0.0
3,100,3,0.027862914460852605,0.0
3,100,3,0.02784,0.0
3,100,3,0.10702028081123245,0.0
3,100,3,0.05748335085874518,0.0
3,100,3,0.06153846153846154,0.0
3,100,3,0.03913529631010063,0.0
3,100,3,0.01188357905439756,0.0
3,100,3,0.05531914893617021,0.0
3,100,3,0.05976863753213368,0.0
3,100,3,0.04463504288464905,0.0
3,100,3,0.13515016685205783,0.0
3,100,3,0.06794241573033707,0.0
3,100,3,0.03608247422680412,0.0
3,100,3,0.012712290222088233,0.0
3,100,3,0.010342084327764518,0.0
3,100,3,0.0468209145563855,0.0
3,100,3,0.03267546725918181,0.0
3,100,3,0.08346415489272632,0.0
3,100,3,0.0696774193548387,0.0
3,100,3,0.05621993127147766,0.0
3,100,3,0.12340425531914893,0.0
3,100,3,0.046766169154228855,0.0
3,100,3,0.039349276974416016,0.0
3,100,3,0.027906976744186046,0.0
3,100,3,0.11172161172161173,0.0
3,100,3,0.04216976031717427,0.0
3,100,3,0.11072664359861592,0.0
3,100,3,0.007917318541696297,0.0
3,100,3,0.01964668978041935,0.0
3,100,3,0.10980036297640654,0.0
3,100,3,0.04099264705882353,0.0
3,100,3,0.1465778316172017,0.0
3,100,3,0.03830207305034551,0.0
3,100,3,0.2430992736077482,0.0
3,100,3,0.1905424200278164,0.0
3,100,3,0.09063745019920319,0.0
3,100,3,0.03085976747524042,0.0
