N,Hebbian,Anti-Hebbian,Random Walk
10,225.16766666666666,1255.982,226.806
100,302.145,470.16366666666664,341.831
1000,380.538,436.2803333333333,400.188
10000,439.17833333333334,458.108,450.1616666666667
