L,Uniform Entropy,hebbian,anti_hebbian,random_walk
4,3.169925001442312,3.1288357716568833,3.127656432913513,3.149007855137309
5,3.4594316186372973,3.4021065827162347,3.398754842892502,3.4337422313086954
6,3.700439718141092,3.6257631121601253,3.6174337948475768,3.670234746111155
