L,N,K,Rule,Ratio,Success Rate
3,10,3,hebbian,0.6116279069767442,0.116
3,10,3,hebbian,0.6273062730627307,0.116
3,10,3,hebbian,0.9829059829059829,0.116
3,10,3,hebbian,0.30726256983240224,0.116
3,10,3,hebbian,0.42735042735042733,0.116
3,10,3,hebbian,0.3911392405063291,0.116
3,10,3,hebbian,0.2287390029325513,0.116
3,10,3,hebbian,0.11722141823444283,0.116
3,10,3,hebbian,0.34510595358224017,0.116
3,10,3,hebbian,0.19915254237288135,0.116
3,10,3,hebbian,0.3321554770318021,0.116
3,10,3,hebbian,0.2667578659370725,0.116
3,10,3,hebbian,0.5374554102259215,0.116
3,10,3,hebbian,1.0655737704918034,0.116
3,10,3,hebbian,0.3310696095076401,0.116
3,10,3,hebbian,0.550561797752809,0.116
3,10,3,hebbian,0.1,0.116
3,10,3,hebbian,0.43034055727554177,0.116
3,10,3,hebbian,0.3363309352517986,0.116
3,10,3,hebbian,0.8226221079691517,0.116
3,10,3,hebbian,0.4019607843137255,0.116
3,10,3,hebbian,0.6073825503355704,0.116
3,10,3,hebbian,0.20760534429599178,0.116
3,10,3,hebbian,0.2463768115942029,0.116
3,10,3,hebbian,0.3263598326359833,0.116
3,10,3,hebbian,0.16387337057728119,0.116
3,10,3,hebbian,0.5155210643015521,0.116
3,10,3,hebbian,0.2781954887218045,0.116
3,10,3,hebbian,0.418848167539267,0.116
3,10,3,hebbian,0.48392857142857143,0.116
3,10,3,hebbian,0.599009900990099,0.116
3,10,3,hebbian,0.19135802469135801,0.116
3,10,3,hebbian,0.41247002398081534,0.116
3,10,3,hebbian,0.23142250530785563,0.116
3,10,3,hebbian,0.34615384615384615,0.116
3,10,3,hebbian,0.10582639714625446,0.116
3,10,3,hebbian,0.2674199623352166,0.116
3,10,3,hebbian,0.39896373056994816,0.116
3,10,3,hebbian,0.24713804713804713,0.116
3,10,3,hebbian,0.7543581616481775,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.2938775510204082,0.116
3,10,3,hebbian,0.43373493975903615,0.116
3,10,3,hebbian,0.20212765957446807,0.116
3,10,3,hebbian,0.2361111111111111,0.116
3,10,3,hebbian,0.9487951807228916,0.116
3,10,3,hebbian,0.09356223175965665,0.116
3,10,3,hebbian,0.3219954648526077,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,1.0160583941605839,0.116
3,10,3,hebbian,1.0122699386503067,0.116
3,10,3,hebbian,0.7962962962962963,0.116
3,10,3,hebbian,0.11748998664886515,0.116
3,10,3,hebbian,0.09478021978021978,0.116
3,10,3,hebbian,0.4727838258164852,0.116
3,10,3,hebbian,0.6629213483146067,0.116
3,10,3,hebbian,0.40407470288624786,0.116
3,10,3,hebbian,0.2689655172413793,0.116
3,10,3,hebbian,0.31196581196581197,0.116
3,10,3,hebbian,0.16293155663234404,0.116
3,10,3,hebbian,0.35609756097560974,0.116
3,10,3,hebbian,0.8417721518987342,0.116
3,10,3,hebbian,0.2466281310211946,0.116
3,10,3,hebbian,0.6590909090909091,0.116
3,10,3,hebbian,0.45267489711934156,0.116
3,10,3,hebbian,0.6115214180206795,0.116
3,10,3,hebbian,0.33527131782945735,0.116
3,10,3,hebbian,0.39603960396039606,0.116
3,10,3,hebbian,0.1936026936026936,0.116
3,10,3,hebbian,0.1314878892733564,0.116
3,10,3,hebbian,0.1263565891472868,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.5049180327868853,0.116
3,10,3,hebbian,0.1746880570409982,0.116
3,10,3,hebbian,0.21760797342192692,0.116
3,10,3,hebbian,0.4563758389261745,0.116
3,10,3,hebbian,0.3333333333333333,0.116
3,10,3,hebbian,0.36771300448430494,0.116
3,10,3,hebbian,1.019642857142857,0.116
3,10,3,hebbian,0.584,0.116
3,10,3,hebbian,0.7695473251028807,0.116
3,10,3,hebbian,0.6177606177606177,0.116
3,10,3,hebbian,0.19310344827586207,0.116
3,10,3,hebbian,0.17212121212121212,0.116
3,10,3,hebbian,0.6577540106951871,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.9020408163265307,0.116
3,10,3,hebbian,1.1004016064257027,0.116
3,10,3,hebbian,0.1457905544147844,0.116
3,10,3,hebbian,0.09385550303848751,0.116
3,10,3,hebbian,0.9215686274509803,0.116
3,10,3,hebbian,0.4126126126126126,0.116
3,10,3,hebbian,0.3057324840764331,0.116
3,10,3,hebbian,0.8527918781725888,0.116
3,10,3,hebbian,0.9354838709677419,0.116
3,10,3,hebbian,0.2373046875,0.116
3,10,3,hebbian,0.9914346895074947,0.116
3,10,3,hebbian,0.17567567567567569,0.116
3,10,3,hebbian,0.3682983682983683,0.116
3,10,3,hebbian,0.44567627494456763,0.116
3,10,3,hebbian,0.30861723446893785,0.116
3,10,3,hebbian,0.2746566791510612,0.116
3,10,3,hebbian,0.3028571428571429,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.9033613445378151,0.116
3,10,3,hebbian,0.4475920679886686,0.116
3,10,3,hebbian,0.7262996941896025,0.116
3,10,3,hebbian,0.35036496350364965,0.116
3,10,3,hebbian,0.13523459061637536,0.116
3,10,3,hebbian,0.4093567251461988,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.7299270072992701,0.116
3,10,3,hebbian,0.35852090032154343,0.116
3,10,3,hebbian,0.321011673151751,0.116
3,10,3,hebbian,0.1828410689170183,0.116
3,10,3,hebbian,0.2714440825190011,0.116
3,10,3,hebbian,0.5624161073825503,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.2743972445464983,0.116
3,10,3,hebbian,2.8642857142857143,0.116
3,10,3,hebbian,0.3028720626631854,0.116
3,10,3,hebbian,0.18886679920477137,0.116
3,10,3,hebbian,0.15813117699910154,0.116
3,10,3,hebbian,0.15127175368139223,0.116
3,10,3,hebbian,0.7781818181818182,0.116
3,10,3,hebbian,1.0025806451612904,0.116
3,10,3,hebbian,0.5488372093023256,0.116
3,10,3,hebbian,0.6325678496868476,0.116
3,10,3,hebbian,1.3181818181818181,0.116
3,10,3,hebbian,0.8132780082987552,0.116
3,10,3,hebbian,0.25170068027210885,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,1.0544554455445545,0.116
3,10,3,hebbian,0.3832167832167832,0.116
3,10,3,hebbian,0.4634146341463415,0.116
3,10,3,hebbian,0.3881278538812785,0.116
3,10,3,hebbian,0.23877551020408164,0.116
3,10,3,hebbian,0.6034755134281201,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.21106259097525473,0.116
3,10,3,hebbian,0.5016181229773463,0.116
3,10,3,hebbian,0.12831241283124128,0.116
3,10,3,hebbian,0.28114285714285714,0.116
3,10,3,hebbian,0.3424317617866005,0.116
3,10,3,hebbian,0.182882223847842,0.116
3,10,3,hebbian,0.48353293413173654,0.116
3,10,3,hebbian,0.2577464788732394,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,1.2444444444444445,0.116
3,10,3,hebbian,0.29820359281437125,0.116
3,10,3,hebbian,0.5489833641404805,0.116
3,10,3,hebbian,0.6477272727272727,0.116
3,10,3,hebbian,1.013550135501355,0.116
3,10,3,hebbian,0.2892459826946848,0.116
3,10,3,hebbian,0.41320754716981134,0.116
3,10,3,hebbian,0.5949367088607594,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.5172413793103449,0.116
3,10,3,hebbian,0.5315068493150685,0.116
3,10,3,hebbian,0.5526590198123045,0.116
3,10,3,hebbian,0.8093645484949833,0.116
3,10,3,hebbian,1.2543859649122806,0.116
3,10,3,hebbian,0.44,0.116
3,10,3,hebbian,0.25435540069686413,0.116
3,10,3,hebbian,0.8720379146919431,0.116
3,10,3,hebbian,0.1088985687616677,0.116
3,10,3,hebbian,1.0293333333333334,0.116
3,10,3,hebbian,0.11358447488584475,0.116
3,10,3,hebbian,0.07956777996070727,0.116
3,10,3,hebbian,0.6824196597353497,0.116
3,10,3,hebbian,0.3254637436762226,0.116
3,10,3,hebbian,0.13945578231292516,0.116
3,10,3,hebbian,0.7945492662473794,0.116
3,10,3,hebbian,0.825,0.116
3,10,3,hebbian,0.3899848254931715,0.116
3,10,3,hebbian,0.9367816091954023,0.116
3,10,3,hebbian,0.4918793503480278,0.116
3,10,3,hebbian,0.9951456310679612,0.116
3,10,3,hebbian,0.15417106652587118,0.116
3,10,3,hebbian,0.10649819494584838,0.116
3,10,3,hebbian,0.42098609355246525,0.116
3,10,3,hebbian,0.21270310192023634,0.116
3,10,3,hebbian,0.2714285714285714,0.116
3,10,3,hebbian,0.115,0.116
3,10,3,hebbian,0.15881561238223418,0.116
3,10,3,hebbian,0.17364341085271318,0.116
3,10,3,hebbian,0.47337278106508873,0.116
3,10,3,hebbian,0.5680851063829787,0.116
3,10,3,hebbian,0.06196414653156664,0.116
3,10,3,hebbian,0.7261904761904762,0.116
3,10,3,hebbian,0.5916824196597353,0.116
3,10,3,hebbian,0.2507418397626113,0.116
3,10,3,hebbian,0.15625,0.116
3,10,3,hebbian,0.5956521739130435,0.116
3,10,3,hebbian,1.0889830508474576,0.116
3,10,3,hebbian,0.32,0.116
3,10,3,hebbian,0.11799410029498525,0.116
3,10,3,hebbian,0.5609756097560976,0.116
3,10,3,hebbian,0.19943019943019943,0.116
3,10,3,hebbian,0.20193470374848851,0.116
3,10,3,hebbian,0.29341963322545844,0.116
3,10,3,hebbian,0.7847682119205298,0.116
3,10,3,hebbian,0.39035087719298245,0.116
3,10,3,hebbian,0.4711711711711712,0.116
3,10,3,hebbian,0.5799373040752351,0.116
3,10,3,hebbian,0.3039332538736591,0.116
3,10,3,hebbian,1.2813688212927756,0.116
3,10,3,hebbian,0.3444676409185804,0.116
3,10,3,hebbian,0.3481717011128776,0.116
3,10,3,hebbian,0.2737556561085973,0.116
3,10,3,hebbian,0.415973377703827,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.14092446448703494,0.116
3,10,3,hebbian,0.1926605504587156,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.7074175824175825,0.116
3,10,3,hebbian,0.14453477868112014,0.116
3,10,3,hebbian,0.24282560706401765,0.116
3,10,3,hebbian,0.42857142857142855,0.116
3,10,3,hebbian,0.16415410385259632,0.116
3,10,3,hebbian,1.0015060240963856,0.116
3,10,3,hebbian,0.3510028653295129,0.116
3,10,3,hebbian,0.21113243761996162,0.116
3,10,3,hebbian,0.3812785388127854,0.116
3,10,3,hebbian,0.24644549763033174,0.116
3,10,3,hebbian,0.15384615384615385,0.116
3,10,3,hebbian,1.196078431372549,0.116
3,10,3,hebbian,0.22033898305084745,0.116
3,10,3,hebbian,0.40217391304347827,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.4636752136752137,0.116
3,10,3,hebbian,0.40226628895184136,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.47058823529411764,0.116
3,10,3,hebbian,0.48523206751054854,0.116
3,10,3,hebbian,0.36475409836065575,0.116
3,10,3,hebbian,0.1979381443298969,0.116
3,10,3,hebbian,0.08517699115044247,0.116
3,10,3,hebbian,1.0414507772020725,0.116
3,10,3,hebbian,1.014218009478673,0.116
3,10,3,hebbian,0.47540983606557374,0.116
3,10,3,hebbian,0.33905579399141633,0.116
3,10,3,hebbian,0.27548209366391185,0.116
3,10,3,hebbian,0.7119565217391305,0.116
3,10,3,hebbian,0.20361990950226244,0.116
3,10,3,hebbian,0.15164179104477613,0.116
3,10,3,hebbian,0.9957805907172996,0.116
3,10,3,hebbian,0.5471698113207547,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.25,0.116
3,10,3,hebbian,0.6772908366533864,0.116
3,10,3,hebbian,0.1848101265822785,0.116
3,10,3,hebbian,0.75,0.116
3,10,3,hebbian,0.7276422764227642,0.116
3,10,3,hebbian,0.24757281553398058,0.116
3,10,3,hebbian,0.20898876404494382,0.116
3,10,3,hebbian,0.288604898828541,0.116
3,10,3,hebbian,0.9469964664310954,0.116
3,10,3,hebbian,0.27703398558187436,0.116
3,10,3,hebbian,0.12796208530805686,0.116
3,10,3,hebbian,0.5741239892183289,0.116
3,10,3,hebbian,0.5808823529411765,0.116
3,10,3,hebbian,0.5,0.116
3,10,3,hebbian,0.9930555555555556,0.116
3,10,3,hebbian,0.5128205128205128,0.116
3,10,3,hebbian,1.106508875739645,0.116
3,10,3,hebbian,0.375609756097561,0.116
3,10,3,hebbian,0.545,0.116
3,10,3,hebbian,0.5175438596491229,0.116
3,10,3,hebbian,1.8695652173913044,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.5674373795761078,0.116
3,10,3,hebbian,0.20372526193247964,0.116
3,10,3,hebbian,0.5063492063492063,0.116
3,10,3,hebbian,0.24725274725274726,0.116
3,10,3,hebbian,0.8197064989517819,0.116
3,10,3,hebbian,0.541095890410959,0.116
3,10,3,hebbian,0.5723684210526315,0.116
3,10,3,hebbian,0.2896253602305475,0.116
3,10,3,hebbian,0.45910290237467016,0.116
3,10,3,hebbian,0.6741071428571429,0.116
3,10,3,hebbian,0.16274089935760172,0.116
3,10,3,hebbian,0.9733333333333334,0.116
3,10,3,hebbian,1.0,0.116
