L,Theoretical,hebbian,anti_hebbian,random_walk
1,0.6666666666666666,0.6894083333333333,0.6452733333333334,0.66922
2,0.4,0.4467066666666667,0.35574666666666666,0.40359
3,0.2857142857142857,0.3449133333333333,0.23025166666666666,0.28958666666666666
4,0.2222222222222222,0.2891483333333333,0.161015,0.2265866666666667
5,0.18181818181818182,0.25456,0.11804166666666667,0.186075
6,0.15384615384615385,0.23104000000000002,0.08799,0.15871833333333332
