Bit Package Size (B),10,20,100
1,1277.185,725.116,469.287
2,962.182,681.91,454.704
4,655.323,564.922,446.784
8,409.667,438.899,440.129
16,280.043,364.609,450.309
32,275.105,365.144,521.709
64,500.998,552.619,739.302
128,1204.955,1152.792,1390.053
